experiment,stage,seed,backbone,unfrozen_layers,source_dataset,target_dataset,batch_size,lr,epochs,es_patience,reduce_lr_patience,n_clusters,clustering,undersampling,ae_arch,align_weight,kl_weight,reconstruction_weight,source_loss,source_acc,source_pre,source_rec,source_f1,target_loss,target_acc,target_pre,target_rec,target_f1,aligned_loss,aligned_acc,aligned_pre,aligned_rec,aligned_f1,trainable_params,model_size_mb,training_time_s,peak_gpu_memory_mb,peak_cpu_memory_mb
./src/experiments/stage1/vgg16/rsna/unfrozen_layers=3/kermany,1,42,vgg16,3,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.523324,0.753452,0.751943,0.753452,0.752662,0.797074,0.40273,0.814235,0.40273,0.353105,,,,,,20056834,105.636971,597.765357,1547.941895,4127.585938
./src/experiments/stage1/vgg16/kermany/unfrozen_layers=5/rsna,1,42,vgg16,5,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.07715,0.976109,0.976636,0.976109,0.976247,3.595953,0.498484,0.724567,0.498484,0.488051,,,,,,24776450,105.636971,160.663366,1601.953613,4142.503906
./src/experiments/stage1/vgg16/rsna/unfrozen_layers=5/kermany,1,42,vgg16,5,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.505685,0.767935,0.759822,0.767935,0.76201,0.746136,0.481229,0.816603,0.481229,0.466586,,,,,,24776450,105.636971,566.763572,1602.703613,4183.773438
./src/experiments/stage1/vgg16/kermany/unfrozen_layers=none/rsna,1,42,vgg16,None,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.069633,0.972696,0.972615,0.972696,0.972641,2.833876,0.45773,0.728019,0.45773,0.428457,,,,,,27692098,105.636971,321.436781,2737.554688,4127.878906
./src/experiments/stage1/vgg16/rsna/unfrozen_layers=none/kermany,1,42,vgg16,None,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.510862,0.772651,0.762487,0.772651,0.762868,0.670148,0.583618,0.805937,0.583618,0.595289,,,,,,27692098,105.636971,1257.062171,2736.054688,4160.148438
./src/experiments/stage1/vgg19/kermany/unfrozen_layers=0/rsna,1,42,vgg19,0,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.091154,0.957338,0.959987,0.957338,0.957924,2.944281,0.530482,0.710035,0.530482,0.5334,,,,,,12977410,125.891853,156.666394,1488.179199,4142.46875
./src/experiments/stage1/vgg19/rsna/unfrozen_layers=0/kermany,1,42,vgg19,0,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.549956,0.731223,0.734167,0.731223,0.732597,0.659668,0.564846,0.710444,0.564846,0.586482,,,,,,12977410,125.891853,687.939412,1488.179199,4145.535156
./src/experiments/stage1/vgg19/kermany/unfrozen_layers=3/rsna,1,42,vgg19,3,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.087704,0.967577,0.96783,0.967577,0.967672,3.243197,0.568542,0.716626,0.568542,0.578278,,,,,,20056834,125.891853,190.883344,1568.196777,4130.222656
./src/experiments/stage1/vgg19/rsna/unfrozen_layers=3/kermany,1,42,vgg19,3,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.524624,0.762209,0.756867,0.762209,0.758942,0.561467,0.740614,0.748161,0.740614,0.74396,,,,,,20056834,125.891853,633.601787,1568.196777,4133.285156
./src/experiments/stage1/vgg19/kermany/unfrozen_layers=5/rsna,1,42,vgg19,5,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.078643,0.97099,0.972039,0.97099,0.971237,2.036048,0.614685,0.717127,0.614685,0.628996,,,,,,24776450,125.891853,157.871809,1622.583496,4152.71875
./src/experiments/stage1/vgg19/rsna/unfrozen_layers=5/kermany,1,42,vgg19,5,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.520251,0.751095,0.749496,0.751095,0.750256,0.728336,0.568259,0.809655,0.568259,0.577068,,,,,,24776450,125.891853,742.389515,1622.208496,4131.28125
./src/experiments/stage1/vgg19/kermany/unfrozen_layers=none/rsna,1,42,vgg19,None,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.080518,0.976109,0.977626,0.976109,0.976376,2.170679,0.582351,0.722473,0.582351,0.593258,,,,,,33001794,125.891853,393.131391,2953.321289,4130.160156
./src/experiments/stage1/vgg19/rsna/unfrozen_layers=none/kermany,1,42,vgg19,None,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.510504,0.758505,0.757684,0.758505,0.758083,0.641635,0.614334,0.826895,0.614334,0.627167,,,,,,33001794,125.891853,1689.169648,2952.446289,4131.605469
./src/experiments/stage1/densenet121/kermany/unfrozen_layers=0/rsna,1,42,densenet121,0,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.173344,0.938567,0.944709,0.938567,0.939849,2.231137,0.446615,0.70399,0.446615,0.417323,,,,,,656642,29.351761,114.786645,382.224121,1775.003906
./src/experiments/stage1/densenet121/rsna/unfrozen_layers=0/kermany,1,42,densenet121,0,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.58096,0.716403,0.733762,0.716403,0.722662,0.662915,0.575085,0.759337,0.575085,0.591779,,,,,,656642,29.351761,415.597505,409.172852,1888.367188
./src/experiments/stage1/densenet121/kermany/unfrozen_layers=3/rsna,1,42,densenet121,3,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.098668,0.962457,0.963838,0.962457,0.962811,2.897705,0.460088,0.705241,0.460088,0.437608,,,,,,861634,29.351761,118.941937,438.468262,1934.550781
./src/experiments/stage1/densenet121/rsna/unfrozen_layers=3/kermany,1,42,densenet121,3,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.55218,0.738633,0.743638,0.738633,0.740849,0.668133,0.56314,0.783183,0.56314,0.574899,,,,,,861634,29.351761,460.076107,412.519531,1937.929688
./src/experiments/stage1/densenet121/kermany/unfrozen_layers=5/rsna,1,42,densenet121,5,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.107989,0.969283,0.97019,0.969283,0.969518,3.417003,0.474907,0.712709,0.474907,0.457595,,,,,,1023554,29.351761,120.790991,413.374023,1938.652344
./src/experiments/stage1/densenet121/rsna/unfrozen_layers=5/kermany,1,42,densenet121,5,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.550027,0.730886,0.738181,0.730886,0.733986,0.66605,0.571672,0.78568,0.571672,0.584376,,,,,,1023554,29.351761,447.897522,413.374023,1938.648438
./src/experiments/stage1/densenet121/kermany/unfrozen_layers=none/rsna,1,42,densenet121,None,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.089882,0.969283,0.969432,0.969283,0.969344,4.901306,0.463793,0.721845,0.463793,0.439033,,,,,,7610498,29.351761,404.949161,4160.963379,1913.683594
./src/experiments/stage1/densenet121/rsna/unfrozen_layers=none/kermany,1,42,densenet121,None,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.538644,0.752779,0.761956,0.752779,0.756395,0.620899,0.639932,0.80811,0.639932,0.656539,,,,,,7610498,29.351761,2107.056887,4160.963379,1948.050781
./src/experiments/stage1/mobilenetv3/kermany/unfrozen_layers=0/rsna,1,42,mobilenetv3,0,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.167691,0.935154,0.94142,0.935154,0.936507,1.403996,0.549006,0.70642,0.549006,0.55692,,,,,,427266,5.212608,92.591888,136.865234,1926.722656
./src/experiments/stage1/mobilenetv3/rsna/unfrozen_layers=0/kermany,1,42,mobilenetv3,0,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.568891,0.720445,0.73678,0.720445,0.72639,0.613874,0.653584,0.681833,0.653584,0.664762,,,,,,427266,5.212608,327.02212,136.865234,1928.0625
./src/experiments/stage1/mobilenetv3/kermany/unfrozen_layers=3/rsna,1,42,mobilenetv3,3,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.155513,0.940273,0.946738,0.940273,0.941564,1.630769,0.5645,0.720172,0.5645,0.572983,,,,,,622722,5.212608,69.647863,138.894043,1938.0
./src/experiments/stage1/mobilenetv3/rsna/unfrozen_layers=3/kermany,1,42,mobilenetv3,3,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.542652,0.731223,0.73616,0.731223,0.733429,0.630013,0.617747,0.695973,0.617747,0.638642,,,,,,622722,5.212608,339.51826,111.695312,1938.242188
./src/experiments/stage1/mobilenetv3/kermany/unfrozen_layers=5/rsna,1,42,mobilenetv3,5,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.147643,0.94198,0.948772,0.94198,0.943276,1.708627,0.566521,0.721092,0.566521,0.575209,,,,,,721362,5.212608,78.457323,112.827637,1938.640625
./src/experiments/stage1/mobilenetv3/rsna/unfrozen_layers=5/kermany,1,42,mobilenetv3,5,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.536483,0.738296,0.737888,0.738296,0.73809,0.654135,0.588737,0.714398,0.588737,0.61094,,,,,,721362,5.212608,438.895221,112.827637,1939.386719
./src/experiments/stage1/mobilenetv3/kermany/unfrozen_layers=none/rsna,1,42,mobilenetv3,None,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.077037,0.974403,0.974461,0.974403,0.974428,3.254843,0.519704,0.726105,0.519704,0.516179,,,,,,1354274,5.212608,93.577788,540.37207,1941.539062
./src/experiments/stage1/mobilenetv3/rsna/unfrozen_layers=none/kermany,1,42,mobilenetv3,None,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.521001,0.751768,0.7579,0.751768,0.754371,0.526629,0.740614,0.774726,0.740614,0.751059,,,,,,1354274,5.212608,423.258702,540.37207,1942.609375
./src/experiments/stage1/efficientnetv2/kermany/unfrozen_layers=0/rsna,1,42,efficientnetv2,0,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.229603,0.906143,0.91855,0.906143,0.908822,1.540992,0.437858,0.698383,0.437858,0.404992,,,,,,787714,80.563713,67.896818,329.200195,1955.222656
./src/experiments/stage1/efficientnetv2/rsna/unfrozen_layers=0/kermany,1,42,efficientnetv2,0,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.593511,0.705962,0.727465,0.705962,0.713364,0.689081,0.561433,0.698195,0.561433,0.584102,,,,,,787714,80.563713,340.25103,329.200195,2034.46875
./src/experiments/stage1/efficientnetv2/kermany/unfrozen_layers=3/rsna,1,42,efficientnetv2,3,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.189306,0.926621,0.937112,0.926621,0.928619,2.214899,0.469182,0.711191,0.469182,0.449616,,,,,,1611522,80.563713,71.825728,417.333984,2044.695312
./src/experiments/stage1/efficientnetv2/rsna/unfrozen_layers=3/kermany,1,42,efficientnetv2,3,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.570712,0.721792,0.730758,0.721792,0.725522,0.705431,0.53413,0.735426,0.53413,0.548441,,,,,,1611522,80.563713,348.181982,496.149414,2044.699219
./src/experiments/stage1/efficientnetv2/kermany/unfrozen_layers=5/rsna,1,42,efficientnetv2,5,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.173111,0.935154,0.938661,0.935154,0.936099,2.361953,0.356349,0.713943,0.356349,0.255735,,,,,,1726786,80.563713,71.010621,497.469238,2044.480469
./src/experiments/stage1/efficientnetv2/rsna/unfrozen_layers=5/kermany,1,42,efficientnetv2,5,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.567512,0.726844,0.734806,0.726844,0.7302,0.723524,0.501706,0.734743,0.501706,0.50897,,,,,,1726786,80.563713,359.856662,340.822754,2044.003906
./src/experiments/stage1/efficientnetv2/kermany/unfrozen_layers=none/rsna,1,42,efficientnetv2,None,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.075507,0.97099,0.972039,0.97099,0.971237,3.136887,0.562479,0.725419,0.562479,0.56972,,,,,,20965202,80.563713,453.520534,4991.611816,2097.378906
./src/experiments/stage1/efficientnetv2/rsna/unfrozen_layers=none/kermany,1,42,efficientnetv2,None,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.519241,0.760525,0.762458,0.760525,0.761436,0.915999,0.394198,0.813418,0.394198,0.339821,,,,,,20965202,80.563713,1993.09191,4990.947754,2103.171875
